"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"
"lr, 100k hashes"	10000	0.577664202812	0.191408441626	50.9623498917
"lr, 100k hashes"	30000	0.593790859746	0.181353099861	87.1837468147
"lr, 100k hashes"	100000	0.612247160316	0.169781474994	148.152549982
"lr, 100k hashes"	300000	0.644818188231	0.155259096662	138.703317881
"lr, 100k hashes"	1000000	0.684101056031	0.142522071064	154.500109911
"lr, 100k hashes"	3000000	0.720519424179	0.135748217546	140.207423925
"lr, 100k hashes"	10000000	0.742150224051	0.133061793307	175.111939907
"lr, 100k hashes"	30000000	0.750851634783	0.132163191494	205.059295177
"lr, 100k hashes"	100000000	0.754105416714	0.131909898252	429.173339128
"lr, 30k hashes"	10000	0.575027699783	0.188237385947	34.5243330002
"lr, 30k hashes"	30000	0.594786944726	0.174772368249	47.6537959576
"lr, 30k hashes"	100000	0.625299136967	0.15797820297	94.8742370605
"lr, 30k hashes"	300000	0.669467206714	0.144246165797	106.976841927
"lr, 30k hashes"	1000000	0.71062957893	0.136591896049	106.445657969
"lr, 30k hashes"	3000000	0.732331332028	0.134246693916	117.792547941
"lr, 30k hashes"	10000000	0.742112278546	0.133347719357	139.843713999
"lr, 30k hashes"	30000000	0.744923892422	0.133133669898	171.719541073
"lr, 30k hashes"	100000000	0.7463477576	0.133017218565	478.496304035
