"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"
"vw"	10000	0.609	0.1501	1
"vw"	30000	0.632	0.1492	2
"vw"	100000	0.653	0.1461	3
"vw"	300000	0.679	0.1429	4
"vw"	1000000	0.692	0.1413	5
"vw"	3000000	0.707	0.1387	6
"vw"	10000000	0.72	0.1369	7
"xgb"	10000	0.65	0.1472	8
"xgb"	30000	0.67	0.1451	9
"xgb"	100000	0.683	0.1442	10
"xgb"	300000	0.694	0.14355	11
"xgb"	1000000	0.695	0.14335	12
"xgb"	3000000	0.696	0.14325	13
"xgb"	10000000	0.6965	0.14323	14
"xgb.ooc"	10000	0.642	0.1476	15
"xgb.ooc"	30000	0.672	0.1446	16
"xgb.ooc"	100000	0.685	0.144	17
"xgb.ooc"	300000	0.694	0.1435	18
"xgb.ooc"	1000000	0.695	0.1433	19
"xgb.ooc"	3000000	0.696	0.1433	20
"xgb.ooc"	10000000	0.6964	0.143231	21
