"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"
lr	10000	0.578177884844	0.178971884565	29.5085098743
rf	10000	0.621504103494	0.144342437741	76.4821279049
tree	10000	0.600422662988	0.357273201261	11.1679940224
bayes	10000	0.509993205115	0.818047776891	1.48214101791
lr	30000	0.606712654428	0.16236564437	35.3462071419
rf	30000	0.643115035038	0.142662388067	92.7048139572
tree	30000	0.617018579741	0.165522218545	11.9768800735
bayes	30000	0.565664291131	0.473385707556	0.820657014847
lr	100000	0.652313535925	0.145698453913	40.4066979885
rf	100000	0.663411563927	0.14115005143	144.407087088
tree	100000	0.638114905876	0.149601338341	12.5886089802
bayes	100000	0.637296917738	0.373915545595	0.909769058228
lr	300000	0.694017701134	0.138406933493	41.6715488434
rf	300000	0.674058380306	0.140104620859	244.973959923
tree	300000	0.641005555466	0.142781786127	16.7563710213
bayes	300000	0.672807318246	0.418186728992	1.29778695107
lr	1000000	0.719469466249	0.135623586024	46.4208109379
rf	1000000	0.677311170308	0.139673520936	586.515081882
tree	1000000	0.64388298082	0.141953441838	29.7467141151
bayes	1000000	0.690009509821	0.437564216119	1.74085712433
lr	3000000	0.729501417959	0.134854378505	52.4596869946
rf	3000000	0.680087853763	0.13939451653	1414.78307986
tree	3000000	0.642813675941	0.141866601496	65.7208981514
bayes	3000000	0.697140532878	0.450650398396	2.11705684662
