"Engine"	"Train size"	"ROC AUC"	"Log loss"	"Train time"
"vw"	10000	0.616331244678	0.14428502961	12.88
"vw"	30000	0.649641658898	0.142167312133	13.6
"vw"	100000	0.683618644036	0.139238212963	13.83
"vw"	300000	0.703320391805	0.137332586265	15.68
"vw"	1000000	0.714870839659	0.136335721375	21.45
"vw"	3000000	0.72874606618	0.134639853144	37.51
"vw"	10000000	0.740057417817	0.133396637675	92.87
"vw"	30000000	0.746595866551	0.1326124667	237.42
"vw"	100000000	0.7530155175	0.131813483138	712.31
"vw"	300000000	0.755807902883	0.131513947303	3018.06
"vw"	1000000000	0.756798448457	0.131779384641	9142
"vw"	3000000000	0.755698333421	0.132428969194	27689
"xgb"	10000	0.663509743693	0.142349739278	1.56
"xgb"	30000	0.682316321881	0.140907061928	4.58
"xgb"	100000	0.696964467698	0.139122124164	14.86
"xgb"	300000	0.714743656593	0.136567639058	45.52
"xgb"	1000000	0.733393270406	0.134198458139	179.49
"xgb"	3000000	0.744253560697	0.13280500935	610.78
"xgb"	10000000	0.750706783469	0.131929939622	2541.02
"xgb"	30000000	0.753289508009	0.131529827949	9065
"xgb"	100000000	0.755224491108	0.131270032458	37105
"xgb.ooc"	10000	0.663936721734	0.142204298072	6.52
"xgb.ooc"	30000	0.684182538527	0.140580030251	24.2
"xgb.ooc"	100000	0.697765852364	0.138864711732	87.48
"xgb.ooc"	300000	0.714633362901	0.136556600616	264.64
"xgb.ooc"	1000000	0.731054714952	0.134485312106	944.91
"xgb.ooc"	3000000	0.742823599115	0.132987550283	2517.86
"xgb.ooc"	10000000	0.750953801983	0.131909674184	5874
"xgb.ooc"	30000000	0.753881106383	0.131430669756	14520
"xgb.ooc"	100000000	0.755746234321	0.131237777868	44875
"lr"	10000	0.577664202812	0.191408441626	50.9623498917
"lr"	30000	0.593790859746	0.181353099861	87.1837468147
"lr"	100000	0.612247160316	0.169781474994	148.152549982
"lr"	300000	0.644818188231	0.155259096662	138.703317881
"lr"	1000000	0.684101056031	0.142522071064	154.500109911
"lr"	3000000	0.720519424179	0.135748217546	140.207423925
"lr"	10000000	0.742150224051	0.133061793307	175.111939907
"lr"	30000000	0.750851634783	0.132163191494	205.059295177
"lr"	100000000	0.754105416714	0.131909898252	429.173339128
"lr"	300000000	0.755291615978	0.131809908334	655.645493984
"lr"	1000000000	0.755555957222	0.131795697268	5133.28028798
"lr"	3000000000	0.755575083657	0.131792462522	5726.66465712
"rf"	10000	0.666209405818	0.141072504942	162.25733614
"rf"	30000	0.686325476035	0.139292662004	123.259371996
"rf"	100000	0.698154160624	0.138366116883	67.557528019
"rf"	300000	0.704939649921	0.137753153698	78.4612021446
"rf"	1000000	0.7072363872	0.137494568389	105.36420989
"rf"	3000000	0.707892500228	0.13742745787	154.24793601
"rf"	10000000	0.708613003835	0.13734362384	518.322438955
"rf"	30000000	0.708447321414	0.137352474673	665.707078934
"rf"	100000000	0.708270614391	0.137371388594	1821.9798851
"rf"	300000000	0.708382095174	0.137347952598	3362.20391607
